SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,25-Sep-17,INE149A01033
CIGNITITEC,Cigniti Technologies Limited,13-Oct-14,INE675C01017
CINELINE,Cineline India Limited,13-Jun-12,INE704H01022
CINEVISTA,Cinevista Limited,02-May-00,INE039B01026
CIPLA,Cipla Limited,08-Feb-95,INE059A01026
CLEAN,Clean Science and Technology Limited,19-Jul-21,INE227W01023
CLEDUCATE,CL Educate Limited,31-Mar-17,INE201M01029
CLSEL,Chaman Lal Setia Exports Limited,12-May-21,INE419D01026
CMICABLES,CMI Limited,29-Nov-16,INE981B01011
CMSINFO,CMS Info Systems Limited,31-Dec-21,INE925R01014
COALINDIA,Coal India Limited,04-Nov-10,INE522F01014
COASTCORP,Coastal Corporation Limited,08-Oct-21,INE377E01016
COCHINSHIP,Cochin Shipyard Limited,11-Aug-17,INE704P01017
COFFEEDAY,Coffee Day Enterprises Limited,02-Nov-15,INE335K01011
COFORGE,Coforge Limited,30-Aug-04,INE591G01017
COLPAL,Colgate Palmolive (India) Limited,17-Dec-07,INE259A01022
COMPINFO,Compuage Infocom Limited,07-Jul-16,INE070C01037
COMPUSOFT,Compucom Software Limited,02-Mar-12,INE453B01029
CONCOR,Container Corporation of India Limited,07-May-97,INE111A01025
CONFIPET,Confidence Petroleum India Limited,13-Jun-19,INE552D01024
CONSOFINVT,Consolidated Finvest & Holdings Limited,29-Mar-05,INE025A01027
CONTROLPR,Control Print Limited,24-Jun-16,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,25-Mar-96,INE558D01021
CORDSCABLE,Cords Cable Industries Limited,13-Feb-08,INE792I01017
COROMANDEL,Coromandel International Limited,31-May-95,INE169A01031
COSMOFIRST,COSMO FIRST LIMITED,25-May-95,INE757A01017
COUNCODOS,Country Condo's Limited,22-Jan-09,INE695B01025
CRAFTSMAN,Craftsman Automation Limited,25-Mar-21,INE00LO01017
CREATIVE,Creative Newtech Limited,05-Aug-19,INE985W01018
CREATIVEYE,Creative Eye Limited,20-Dec-00,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,23-Aug-18,INE741K01010
CREST,Crest Ventures Limited,27-Dec-06,INE559D01011
CRISIL,CRISIL Limited,28-Jun-95,INE007A01025
CROMPTON,Crompton Greaves Consumer Electricals Limited,13-May-16,INE299U01018
CROWN,Crown Lifters Limited,08-Feb-22,INE491V01019
CSBBANK,CSB Bank Limited,04-Dec-19,INE679A01013
CSLFINANCE,CSL Finance Limited,21-Jul-22,INE718F01018
CTE,Cambridge Technology Enterprises Limited,07-Feb-07,INE627H01017
CUB,City Union Bank Limited,25-Aug-98,INE491A01021
CUBEXTUB,Cubex Tubings Limited,24-Apr-96,INE144D01012
CUMMINSIND,Cummins India Limited,29-Mar-95,INE298A01020
CUPID,Cupid Limited,16-Sep-16,INE509F01011
CYBERMEDIA,Cyber Media (India) Limited,10-Jun-05,INE278G01037
CYBERTECH,Cybertech Systems And Software Limited,27-Jan-99,INE214A01019
CYIENT,Cyient Limited,30-Sep-98,INE136B01020
DAAWAT,LT Foods Limited,18-Dec-06,INE818H01020
DABUR,Dabur India Limited,28-Apr-99,INE016A01026
DALBHARAT,Dalmia Bharat Limited,22-Jan-19,INE00R701025
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,17-Jan-96,INE495A01022
DAMODARIND,Damodar Industries Limited,04-Jul-16,INE497D01022
